ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351590,2.32246E+12,E,ASS,,1,,,,,,,155686923,2.32246E+12,E,ASS,29MAY2022:08:29:14.380
61351591,2.32246E+12,E,ASS,,2,,,,,,,155686924,2.32246E+12,E,ASS,29MAY2022:08:29:14.427
61351592,2.32504E+12,E,ASS,,1,,,,,,,155686929,2.32504E+12,E,ASS,29MAY2022:08:29:14.567
61351593,2.32504E+12,E,ASS,,1,,,,,,,155686930,2.32504E+12,E,ASS,29MAY2022:08:29:14.613
61351594,2.32394E+12,E,ASS,,1,,,,,,,155686931,2.32394E+12,E,ASS,29MAY2022:08:29:14.660
61351595,2.32394E+12,E,ASS,,1,,,,,,,155686932,2.32394E+12,E,ASS,29MAY2022:08:29:14.693
61351596,2.32246E+12,E,ASS,,1,,,,,,,155686933,2.32246E+12,E,ASS,29MAY2022:08:29:14.740
61351597,2.32246E+12,E,ASS,,2,,,,,,,155686936,2.32246E+12,E,ASS,29MAY2022:08:29:14.850
61351598,2.32246E+12,E,ASS,,2,,,,,,,155686938,2.32246E+12,E,ASS,29MAY2022:08:29:14.927
61351599,2.32246E+12,E,ASS,,2,,,,,,,155686940,2.32246E+12,E,ASS,29MAY2022:08:29:15.037
61351600,2.32246E+12,E,ASS,,2,,,,,,,155686942,2.32246E+12,E,ASS,29MAY2022:08:29:15.113
61351601,2.32246E+12,E,ASS,,1,,,,,,,155686943,2.32246E+12,E,ASS,29MAY2022:08:29:15.160
